09.05.2022-16:07:46 main.Main                                          DBLOG           Connecting to database
09.05.2022-16:07:47 loop                                          main.Main            Successfully updated 3 websites
09.05.2022-16:07:48 loop                                          main.Main            pinging http://lernsax.de
09.05.2022-16:07:48 loop                                          main.Main            pinged lernsax.de - REQUEST SUCCESSFUL - ELAPSED TIME: 415ms
09.05.2022-16:07:48 loop                                          main.Main            pinging http://3m5.de
09.05.2022-16:07:48 loop                                          main.Main            pinged 3m5.de - REQUEST SUCCESSFUL - ELAPSED TIME: 498ms
09.05.2022-16:07:48 loop                                          main.Main            pinging http://joinkedbyme.com
09.05.2022-16:07:49 loop                                          main.Main            pinged joinkedbyme.com - REQUEST FAILED - UNKNOWN HOST
09.05.2022-16:08:18 loop                                          main.Main            pinging http://lernsax.de
09.05.2022-16:08:18 loop                                          main.Main            pinged lernsax.de - REQUEST SUCCESSFUL - ELAPSED TIME: 129ms
09.05.2022-16:08:18 loop                                          main.Main            pinging http://3m5.de
09.05.2022-16:08:18 loop                                          main.Main            pinged 3m5.de - REQUEST SUCCESSFUL - ELAPSED TIME: 540ms
09.05.2022-16:08:18 loop                                          main.Main            pinging http://joinkedbyme.com
09.05.2022-16:08:18 loop                                          main.Main            pinged joinkedbyme.com - REQUEST FAILED - UNKNOWN HOST
09.05.2022-16:08:43 Shutdown                                      main.Main            Schutdown initiated
