10.05.2022-15:01:43 main                                          DBLOG           Connecting to database
10.05.2022-15:01:43 main                                          Main            Webserver started
10.05.2022-15:01:44 loop                                          Main            Websiteupdate requested
10.05.2022-15:01:44 loop                                          Main            Successfully updated 3 websites
10.05.2022-15:01:44 loop                                          Main            Pingrequest requested
10.05.2022-15:02:14 loop                                          Main            Pingrequest requested
10.05.2022-15:02:45 loop                                          Main            Pingrequest requested
10.05.2022-15:02:46 loop                                          Main            Pingrequest requested
10.05.2022-15:03:16 loop                                          Main            Pingrequest requested
10.05.2022-15:03:46 loop                                          Main            Pingrequest requested
10.05.2022-15:03:47 loop                                          Main            Pingrequest requested
10.05.2022-15:04:17 loop                                          Main            Pingrequest requested
10.05.2022-15:04:47 loop                                          Main            Pingrequest requested
10.05.2022-15:04:48 loop                                          Main            Pingrequest requested
10.05.2022-15:05:18 loop                                          Main            Pingrequest requested
10.05.2022-15:05:48 loop                                          Main            Pingrequest requested
10.05.2022-15:05:49 loop                                          Main            Pingrequest requested
10.05.2022-15:06:19 loop                                          Main            Pingrequest requested
10.05.2022-15:06:49 loop                                          Main            Pingrequest requested
10.05.2022-15:06:50 loop                                          Main            Pingrequest requested
10.05.2022-15:07:20 loop                                          Main            Pingrequest requested
10.05.2022-15:07:51 loop                                          Main            Pingrequest requested
10.05.2022-15:07:52 loop                                          Main            Pingrequest requested
10.05.2022-15:08:22 loop                                          Main            Pingrequest requested
10.05.2022-15:08:52 loop                                          Main            Pingrequest requested
10.05.2022-15:08:53 loop                                          Main            Pingrequest requested
10.05.2022-15:09:23 loop                                          Main            Pingrequest requested
10.05.2022-15:09:26 Shutdown                                      Main            Schutdown initiated
